순번,용어,용어설명
228,전력선통신,"가정이나 사무실에서 전기선을 꽂으면, 전기선을 통하여 음성, 데이터, 인터넷 등을 고속으로 이용할 수 있게 해주는 통신방식임 (원격검침용 PLC 국제표준 : ISO/IEC 12139-1)"
229,전력속 밀도(電力束 密度)," 전파 방향에 수직인 단위 면적당 전력으로 주로 제곱미터당 와트 단위로 표현된다. 주 : 평면파에 대한 전기장 세기(E) 와 자기장 세기(H)는 매질의 고유 임피던스에 관련된다. 자유공간에서 S = E <SUP>2</SUP> /377 = 377H <SUP>2 </SUP> = EH 이며, 전기장과 자기장는, 각각 V/m와 A/m의 단위로, S는 W/m <SUP>2</SUP>  단위로 표현된다. 많은 측정기기가 전력밀도단위로 지시 하지만, 실제 측정된 양은 전기장나 자기장이다.<br> ☞ power density : 전력밀도<br> Power per unit area normal to the direction of electromagnetic wave propagation, usually expressed in units of watts per square metre (W/m <SUP>2</SUP> ). Note : For plane-wave electric field  strength (E) and magnetic field strength are related by the intrinsic impedance of the medium. For free space S = E <SUP>2</SUP> /377 = 377H <SUP>2 </SUP> = EH where E and H are expressed in units of V/m and A/m, respectively, and S in units of W/m2. Although many survey instruments indicate power density units, the actual quantities measured are E or H. CENELEC SC 211/B-1997, IEEE Std. 211-1990"
230,전력수급계약,"발전회사가 단일구매자인 전력회사에 전력을 판매하는 형태로서 변동비는 실적 보상하고, 고정비 보상은 협상에 의하여 매년 일정 수준 보장 함"
231,전력수급계약,발전회사가 단일구매자인 전력회사에 전력을 판매하는 형태로서 변동비는 실적보상하고 고정비 보상은 현상에 의하여 매년 일정 수준을 보상함
232,전력변환장치,"교류에서 직류로, 직류에서 교류로, 직류에서 직류로, 또는 교류에서 교류로 전력을 변환하는 장치."
233,전력부가서비스,"효율적인 전력사용을 지원하기 위해 제공하는 요금정보, 사용량정보, 컨설팅정보 등을 총칭한 전력부가서비스"
234,전력사용 설비,"전력사용장소에서 전력을 이용하기 위한 자동제어 설비, 원방감시제어설비, 계장설비등과 전력을 이용하여 동력, 빛, 열등으로 사용하는 전기기계, 기 구등(전기용품안전관리법에 의한 전기용품중 꽃음접속기를 이용하여 사용하는 전기기계기구등을 제외)"
235,전력산업구조개편,"전력산업의 발전, 송전, 배전을 분리하여 경쟁체제로의 전환을 말하는 것. 대표적으로 영국의 Pool 제도와 미국의 탁송제도가 있다."
236,전력상차각 곡선,정태안정도에서 정태안정 극한전력을 표시하기 위한 전력과 상차각의 관계를 나타내는 곡선.
237,전력상품구매옵션,약정가격으로 전력을 구매 할 수 있는 권리. 실제로 구매할지의 여부는 옵션 보유자가 선택할 수 있기 때문에 옵션 보유자는 불확실한 장래의 전력가 격에 수반한 위험부담을 회피할 수 있다.
238,전력선반송,전력선을 반송파의 전송로로 사용하여 통신하는 방법.
239,전력선반송계전방식,보호 계전 방식에서 전력선 반송 통신을 사용하는 것
240,전력선반송통신,상용 전력을 전송하는 전력선에 고주파를 결합하여 통신하는 방식. 송전선에 고주파를 결합하려면 송전 결합 커패시터를 사용함과 동시에 송전선에 직렬 로 블로킹 코일을 삽입하여 전송 구간 이외에 고주파가 흐르지 않도록 하는 방법이 일반적이다. 사용할 수 있는 주파수는 전파법에 의해10kHz에 서 450kHz로 정하여져 있다.
241,전력수급계약,한전과 독립발전사업자간에 전력수급 및 요금 지급 등 제반조건에 관한 약정
242,전력수급계약서,"전기사업자 상호간 또는 전력회사와 자가용 발전설비를 사용하는 소비자간에서 전력을 공급 또는 수전하는 경우, 그것에 관한 항목을 결정하는 계약서."
243,전력수급계획,"장래의 전력수급을 원활히 또 경제적으로 행하기 위해 연도별 혹은 기별, 월별로 규정한 수용에 대해서 수력, 화력, 기타의 공급력을 책정, 수 급 균형을 기하는 일련의 계획."
244,전력수요상정,전력공급계획 및 수급 균형을 작성하기 위하여 전력계통에서 소비하게될 부하를 예측하는 것.
245,전력수요예측,전력시설의 운용과 건설계획을 세우기 위하여 장래의 전력수요를 예측하는 것. 전력 구성 요소별로 누계하여 적산하는 마이크로 예측과 실적을 분석하 여 추출하는 매크로 예측이 있다.
246,전력수요요금,수용 전력의 크기라든가 특성에 따라서 지불되는 요금.
247,전력스위치기어,"일반적으로 제어, 측정, 보호 및 조정장치에 관련된 스위칭과 차단기 등의 총칭. 스위치 기어 참조."
248,전력시스템,"비전기적 에너지를 전기적 에너지로 변환하기 위해 서로 연결되게 설계된 설비로서 전력의 생산(발전), 수송(송전), 변환(변전), 배분(배전) 및 이들을 관리제어 및 운용(급전)을 위한 제반 설비 및 장치로 구성된 하나의 시스템."
249,유도장애대책협조(급전과통신시스템),"유도장애를 방지하기 위해 조화 조정된 수법에 기초한 위치, 설계, 공사, 운전 및 보수"
250,유도장해,"강전류 전력선에 의하여 약전류 통신선에 이상전압 또는 전류를 흐르게 하여 통신소통에 장해를 줄뿐만 아니라, 어느 한계를 초과할 경우 통신설비의 소손 및 인축의 감전 사고까지 유발할 수 있는 현상."
251,유도장해대책공사,전력선의 설치 등에 따른 기설 통신시설에 유도장해가 있을 것이 예상되거나 장해가 있을 경우에 그 장해를 방지 또는 제거하기 위하여 필요로 하는 공사.
252,유도전류,유도기전력에 의해 흐르는 전류.
253,유도전류(誘導電流)," 1. 일반적으로, 시변 전자기장의 인가에 의해 도체에 발생되는 전류. 2. 전자파장해에서, 잡음원에서 발생된 장해 전자기장과 신호 경로가 결합한 결과로 신호 경로에 흐르는 장해 전류. 3. 낙뢰에서, 간접 낙뢰에 의해 회로망이나 전기설비에 유도된 전류.<br> 1. (general) Current in a conductor due to the application of a time-varying electromagnetic field. 2. (interference terminology) The interference current flowing in a signal path as a result of coupling of the signal path with an interference field, that is, a field produced by an interference source. 3. (lightning strokes) The current induced in a network or electric installation by an indirect stroke. IEEE Std 100-1996"
254,유도전압(誘導電壓), 1. 회로망에 쇄교하는 자속의 시간적 변화에 의해 이 페회로에 생성되는 전압. 2. 간접 낙뢰에 의해 회로망이나 전기설비에 유도되는 전압.<br> ☞ antenna induced voltage : 안테나 유도전압<br> 1. (general) A voltage produced around a closed path or circuit by a change in magnetic flux linking that path. 2. (lighting strokes) The voltage induced on a network or electric installation by an indirect stroke.<br> IEEE Std 100-1996
255,유도전압조정기,"분로된 1차권선과 직렬로 접속된 2차권선을 가지며, 여자(1차)와 직렬(2차)권선에 있어서의 자기를 변환시킴으로써, 회로전압 또는 위상관계를 조 정하는 부하시전압조정기. 모선전압조정기와 급전선전압조정기가 있다. 유도전동기의 회전자를 외력에 의하여 조금씩 회전시켜 이에 따라 2차측의 전압 이 연속적으로 변화하는 특성을 이용하여 6kV 이하의 전압조정에 사용하는 장치. 현재는 경제적인 원인으로 별로 사용하지 않는다."
256,유도전위시험,"단자간에 공급, 유도되는 적당한 주파수 교류전압을 시험전압으로 실시하는 절연체 시험."
257,유도컵(계전기의 )(전력용차폐장치),한쪽끝이 폐쇄된 원통형의 계전기 전기자의 일종으로 이것이 입력량에 의해 여자된 전자계안에 놓여졌을때 구동토트가 발생한다.
258,유도협조,"유도장해는 상대방시설에 피해를 주는 것으로 장해를 주는측과 받는측 상호간 협조 없이는 유도장해 검토, 예측계산, 대책 등의 시행이 불가능하므로 반드시 상호 시설내용에 대하여 협조를 받아야 한다. 따라서 유도업무를 상호 협조하여 처리한다는 의미로 """"""""유도협조""""""""라는 용어를 쓰며 영어로 Inductive coordination 이라고 하며 유도 업무 관계 전문기술자를 Inductive coordination engineer 라 한다"
259,유동상식접촉분해시설,"유동하는 고온의 촉매를 사용하여 중질유를 분해하는 시설. 원료로는 보통 VGO를 사용하여 흔히 VGO FCC 라고도 한다. 휘발유생산을 주 목적 으로 하는 시설로 생산되는 주요 제품은 고옥탄가의 휘발유 및 LPG유분, 경유유분 등이며, FCC의 초기 기술로는 촉매문제로 인해 연료유룰 직 접 투입하지 못하고 감압경유를 투입하여 분해하였으나, 현재는 촉매기술 및 FCC에 대한 기술이 많이 발달하여 연료유를 직접 분해할 수 있는 RFCU가 널리 보급되고"
260,유동층연소,"탄을 연소시키는 방법의 하나. 연소가 안되는 입자를 포함한 연탄층이 위로 흐르는 공기에 의해 부유상태에 있게 되며, 연소가 안되는 입자는 일반적 으로 석탄회분이거나 석회석과 같은 유황수용제이다."
261,유량스위치,"(전력 시스템 장치 동작 번호 80 에서)개폐기의 한 종류. 유량의 주어진 값이나, 변화율에 따라 작동한다."
262,유량의에너지변환계수,수력발전소에서 단위 유량(1m3/s)당 발전력.
263,유역면적,"수력발전에서 분수령으로 둘러싸인 강우가 집중하는 영역. 지정한 지점(댐, 뚝, 보 등의 지점)에 유출하여 내려오는 지역의 수평투사면적."
264,유연 송전시스템,"송전계통에 전력전자(Power Electronics) 기술을 적용하여 전력수송 유연화로 계통 안정도 향상, 송전 설비이용률을 향상시키기 위한 기술로 설치지점의 전압크기, 위상각, 임피던스 등을 제어하여 계통 특성 개선"
265,유연철탑,"송전선에 사용하는 철탑의 하나로 전선로 방향의 강도를 무시하도록 설계되어 있으며 철탑주체가 일면으로 되어 있는 철탑. 일반적으로 철탑이라고 불리 우는 것은 고정철탑(rigid tower)이라고 하며, 휨철탑과는 달리 전선로 방향의 하중과 선로방향의 하중을 완전히 지지할 수 있도록 설계되 어 있다."
266,자기장,자석주위에는 자기장이 형성되는데 자기장은 자기력이 미치는 공간을 말한다. 전기장과 같이 자기장도 이론상 그 공간은 무한하다. 자기력선은 자석의 N극에서 나와서 S극으로 들어간다. 그런데 전류가 흐르는 도선 주위에 자기장이 형성된다.
267,자기장(磁氣場)," 선형적이고 등방적 자기장 특성을 갖는 매질 내의 정현파적 시간 변화장(時間 變化場)에서, 자속밀도를 매질의 투자율로 나눈 것.<br> ☞ field : 전자기장<br> For time harmonic fields in a medium with linear and isotropic magnetic properties, the magnetic flux density divided by the permeability of the medium. IEEE STD 211-1990"
268,자기지지,계전기가 동작했을 때 특정기구 또는 다른 입력에 의해 동작기능을 스스로 유지하는 것을 말한다.계전기 동작 용어
269,자기지지,계전기가 동작했을 때 특정기기 또는 다른 입력에 의해 동작기능을 스스로 유지하는 것을 말한다.
270,자기차단기,"자기 차단기는 아크를 아크 슈트와 같은 이온 소멸 장치를 구동시킬 자기 회로를 가지고 있어, 대기 중에서 전로의 차단을 하는 차단기를 말한다. 즉, 대기중에서 전자력에 의해 소호장치내에 아크를 구동하는 장치이다."
271,자기차폐(磁氣遮蔽)," 자성체 내로 자속(磁束)을 집중시켜, 자기장의 영향이 다른 곳에 미치지 않도록 하는 차폐를 의미한다."
272,자단후비보호방식(지역후비보호방식),주보호가 설치되어있는 자전기소에서의 후비보호.
273,자동 부하절환 개폐기,"전압,시간. 이 개폐기는 공공의 이익에 중대한 영향을 미치거나, 전력확보의 필요성이 있는 중요한 고객에게 이중전원을 공급하는 기기이다. 주전원 이 정전되면 자동으로 예비전원으로 절환되며, 주전원이 복귀되면 일정시간 후에 예비전원에서 주전원으로 되돌아온다."
274,자동 조사량측정 장비(自動 照射量測定 裝備)," 모형 생체의 3차원 SAR 분포의 실험적 평가는 수많은 점들에서 측정을 필요로 한다. 특히 고주파에서 모형 생체들과 관계된 점들의 위치는 빠른 공간 감쇠와 장의 변화에서 반복 측정을 하기 위해 아주 정확하게 정의되어야 하며 공간 최대 SAR값을 정확하게 계산하기 위해 높은 정확도가 필요하다. 이러한 측정들이 정기적으로 수행되어야 하기 때문에 측정 과정은 반드시 자동화해야 한다. <br> The experimental assessment of the 3-dimensional SAR distribution within a phantom easily involves measurements at several hundred points. Especially at higher frequencies, the locations of these points with respect to the phantom must be determined with the greatest precision, in order to obtain repeatable measurements in the presence of rapid spatial attenuation and field variations. High precision is also required to accurately evaluate the spatial peak SAR values. It is obvious that the measurement process must be highly automated if such measurements must be performed routinely."
275,자동개폐장치,"이상 상태하에서 개폐 장치가 자동 차단된 후, 필요에 의하여 이것을 개폐 시키는 기능을 갖춘 자동장치."
276,자동구간 개폐기,"전압,전류,계수 자동 구간개폐기 설치지점의 부하측 영구고장 발생시에, 자동 재폐로 차단기가 고장전류를 차단하여 선로가 무전압 상태일때, 이 개 폐기는 미리 정정된 횟수를 계수한 후 자동으로 선로에서 고장구간을 분리한다. 순간고장 발생시에는 이 개폐기가 개방되기 전에 후비 자동 재폐로 차 단기에 의해 고장이 제거되므로 동작하지 않는다.이 개폐기는 고장전류 차단능력이 없으므로 후비에 차단능력을 갖는 자동재폐로 차단기와 함께 직렬로 설치해야 하며, 2"
277,자동급전시스템,"전자 계산기를 이용하여 복잡 다양화된 전력 계통을 자동으로 감시, 제어하므로 전력 설비를 최적 조건으로 운용하여 양질의 전기를 안정되게 공급하 기 위한 시스템. 한국전력공사에서는 1976년말 미국의 Leads & Northrup 사(社)와 최신 기술의 2중 온라인 리얼타임 컴퓨터 시스템 을 중추로 한 자동 급전 시스템(LN5400 AGC/SCADA system)의 차관 및 물자 공급계약을 맺어 그로부터 2년 6개월만인 1979년 6월말부터 정상가동을"
278,자동급전제어대역,유니트가 자동급전제어운전을 행하는 경우에 보조 기기대수 및 버너 수 등에 의해 결정되는 출력변화 허용폭.
279,자동기록고장장치,"사고시의 전압, 전류, 릴레이 동작 상황등을 파형으로 표현하여 타임차트에 기록하는 장치. 사고현상의 해석에 사용한다."
280,자동동기병렬,병렬운전을 해지하는 것.
281,자동런백장치,주요 보충 기기류가 트립되는 경우 유니트가 운전을 지속하는데 지장이 없는 출력까지 그 출력을 내리게 하는 장치.
282,자동루프 스위치,"전압,전류,계수,시간.기존의 전류감지식 자동 재폐로 차단기에 전압감지 기능을 덧붙인 자동루프식 스위치는 상시개방인 타이 차단기(TIE RECLOSER)와 상시투입인 구간 차단기(SECTIONALIZING RECLOSER)로 구성되는 3차단기 방식을 표준으로 하고, 선로고장 발생 시 고장구간을 자동으로 분리한 후, 건전구간은 타선로에서 절환받아 전원을 공급하는 발전된 방식의 배전선로 보호방식이다."
283,전력시스템안정화장치,"전력 시스템의 동특성을 향상시키기 위해 조정기에 추가로 입력을 넣는 부품. 축 속도, 주파수, 동기기 전력 등 다양한 양이 전력시스템 안정화장치 에 대한 입력으로 사용될 수 있다. 즉, 전력 시스템의 동특성을 향상시키기 위해 조정기에 추가로 입력을 넣는 부품. 축 속도, 주파수, 동기기 전력등 다양한 양이 전력시스템안정기에 대한 입력으로 사용될 수 있다."
284,전력시장,전력산업에 시장경쟁을 도입하여 전력도 일반상품처럼 취급을 하여 거래하는 시장.
285,전력아울렛,"리셉터클(receptacle), 차단기, 퓨즈홀더(fuse holder), 퓨즈 스위치, 버스, 전력량계를 놓을 수 있는 자리 등을 포함하고 있 는 집합. 이동식 주택, 여가용 차량이나 선박에 전력을 공급하고 제어하거나, 장착된 설비를 작동시키는데 필요한 전력을 배분하는 기능을 한다."
286,전력여유(電力餘裕)," 가용 신호전력과, 신호손실을 극복하기에 필요한 최소신호전력 사이의 차로, 주어진 성능레벨을 위해 수신기의 최소 입력요구조건을 만족하고 있는 상태. 주 : 시스템의 전력여유는 수신기 입력에 존재하는 초과 신호레벨을 나타내며, 이 레벨은 다음을 보상하는데 이용할 수 있다. (a) 송신기, 수신기 또는 물리적 전송매질에서의 부품 열화의 영향, (b) 전파(傳播) 상태의 악화.<br> ☞ system power margin : 시스템 전력여유, RF power margin : 고주파 전력여유<br> The difference between available signal power and the minimum signal power needed to overcome system losses and still satisfy the minimum input requirements of the receiver for a given performance level. Note: System power margin reflects the excess signal level, present at the input of the receiver, that is available to compensate for (a) the effects of component aging in the transmitter, receiver, or physical transmission medium, and (b) a deterioration in propagation conditions. Synonym system power margin. <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a>"
287,전력용개폐장치,자단에서만 처리할 수 있는 후비보호계전기
288,전력용콘덴서,"송배전계통의 부하역률을 개선하여 송전 손실의 저감이나 계통전압의 저하를 억제하는데 사용하는 콘덴서. 직렬리액터의 용량은 콘덴서의 5-6%이며, 방전코일은 콘덴서를 회로에서 차단한 다음 신속히 그 잔류 전하를 방전시키는 역할을 한다."
289,전력원선도,"정전압 송전방식에서 선로의 송수전단 전압을 일정하게 유지하고 부하증감에 대해서는 송수전단 전압간의 상차각만을 변화시켜 부하에 응하도록 할 경우 횡축에 유효전력을 취하고 종축에 무효전력을 취하면 그 운전점의 궤적은 송수양단이 함께 원선도를 형성한다. 이 원선도를 전력원선도라 한다. 전력원 선도는 송수전단 전압과 4단자 선로정수가 주어지면 그릴수 있고, 이원선도로부터 여러 가지 송전계통의 운전특성을 알 수 있다."
290,전력융통,"전력회사 상호간에 있어서 특정 목적으로 전력을 주고 받는 것. 예를 들면 전력수급의 불균형을 완화하여 전력공급을 원활하게 할 때. 발전설비 및 송전설비를 유효하고 경제적으로 운용하려할 때 또는 이상갈수, 사고 등의 경우에 전력을 융통한다."
291,전력이득(電力利得)," 1. (규정된 편파에 대하여) 복사세기에 대한 규정된 편파의 복사세기의 비에 의해 감소되는 안테나의 전력이득. 2. (물리적 매질에서) 원거리장의 주어진 방향과 주어진 점에서, 안테나로부터의 전력밀도와 같은 입력전력을 갖는 등방성 복사기로부터의 전력밀도의 비를 안테나의 전력이득이라 한다. 주 : 등방성 복사기는 안테나를 포함하는 최소의 구면내에 있어야 하고, 만일 존재한다면 권장되는 위치는 안테나 단자이다.<br> 1. (referred to a specified polarization) The power gain of an antenna, reduced by the ratio of that portion of the radiation intensity corresponding to the specified polarization to the radiation intensity. 2. (in physical media) In a given direction and at a given point in the far field, the ratio of the power flux per unit area from an antenna to the power flux per unit area from an isotropic radiator at a specified location with the same power input as the subject antenna. Note: The isotropic radiator must be within the smallest sphere containing the antenna. Suggested locations are antenna terminals and points of symmetry if such exist. IEEE Std. 145-1993"
292,전력전송공학,"전력전송에 관련되는 제반, 전기적인 특성, 설비의 운용과 제어방안 등을 다루는 학문."
293,전력전원고립,전원과 그 전원으로부터 전력을 공급받는 시스템사이에 전기적으로 고립되는 현상.
294,전력조류,"전력계통내의 수요에 따른 유효전력 및 무효전력의 흐름. 즉, 전력에너지의 흐름을 말하며, 송전선로의 전력조류가 클 경우 過熱 또는 安定度 문 제 발생 *우리나라의 경우 전력조류는 남쪽에서 북쪽으로 흐름"
295,유입변압기,"용기내에 절연, 냉각용 기름을 가득 채운 변압기."
296,유입식발전,하천유량을 조정하는 못이 없는 발전 방식. 최대사용수량은 일반적으로 하천의 평수량 정도로 한다.
297,유입식발전소,"저장없이 흐르는 수량의 전부, 혹은 일부를 사용하는 수력 발전소."
298,유입차단기,"유입차단기는 전로의 차단이 절연유를 매질로 하여 동작하는 차단기를 말한다. 즉, 절연유를 소호매질로 하는 것으로서 탱크형 유입차단기와 소유량형 유입차단기가 있다. 탱크형이라 함은 철제의 탱크 내부의 절연유중에서 소호를 시키는 것이며 소유량형은 탱크 대신에 자기애자관을 사용한 것이다. 소 유량형은 1925년에 60-150kV 용이 불란서에서 제작되었고 그 당시 동일 용량의 탱크형에 비해서 유량이 약 1/30 이었다. 유량이 적어 서 대체로 보수작업시"
299,유자격자,요구되는 기능을 수행할 수 있도록 훈련이나 경험을 통하여 능력이 인정된 사람
300,유전 효과(遺傳 效果)," 세포 내의 DNA에서의 변형. 배종 세포(정충, 난자)에서 발생하면 자손 내에서의 돌연변이가 일어날 수 있고, 체세포 및 다른 세포들에서 발생하면 조숙 현상이나 암 등이 발생할 수 있다.  <br> An alteration in DNA material within the cell. If germ cells (sperm, egg) are involved, mutations in offspring can result. If somatic (all other) cells are involved, effects such as premature aging or cancer can result. IEEE Std 100-1996"
301,유전분극,부도체(절연체)에서 일어나는 정전기유도를 유전분극이라 한다.
302,유전상수(誘電常數), 단위 전기장 세기에 대해 단위 체적당 저장되는 정전 에너지를 결정하는 유전체의 특성.  주: 이것의 수치는 통상 진공에 대한 상대 값으로 주어짐 (비(比)유전율로도 불린다).<br> That property which determines the electrostatic energy stored per unit volume for unit potential gradient. Note: This numerical value usually is given relative to a vacuum. IEEE Std 100-1996
303,유전율(誘電率)," 전속밀도(D)를 전기장(E)으로 나눈 값으로 정의된 유전 물질(예: 생체조직)의 특성. ε=D/E, 유전율은 F/m 단위로 표시된다.<br> ☞ relative complex permittivity : 상대 복소유전율<br> The property of a dielectric material (e.g., biological  tissue) defined by the electrical flux density D divided by the electric field E. ε=D/E. The permittivity s expressed in units of farads per metre (F/m). CENELEC SC 211/B-1997"
304,유전자 표현(遺傳子 表現), 기능 단백질이나 RNA를 생성하기 위해 유전자에 기록되어 있는 유전정보의 실현.<br> The realization of genetic information encoded in genes to produce function protein or RNA.
305,유전자(遺傳子)," 유전의 생물학 상의 단위로, 염색체의 길이를 따라 배열되어 있다.<br> The biological units of heredity. They are arranged along the length of chromosomes.<br><a href=""javascript:window.open('http://www.nrpb.org.uk/Advice/Glossary/Glossary.htm','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.nrpb.org.uk/Advice/Glossary/Glossary.htm</a>"
306,유전체(誘電體)," 1. 전기장이 거의 ‘0’에 가까운 전력소비로 유지될 수 있는 물질. 즉, 전기 전도도가 거의 ‘0’ 에 가깝다. 주 : 1) 유전체는 전기 절연체이다. 2) 유전체 내에서, 전자는 원자와 분자에 속박되어 있어서 자유전자가 거의 없다. 2. 전기 전도도가 거의 ‘0’에 가까운 물질에 관련된 용어. <br> 3. 외부에서의 에너지 공급이 없거나 거의 없는 상태에서 전기장을 유지할 수 있는 매질.<br> 1. A substance in which an electric field may be maintained with zero or near-zero power dissipation, i.e., the electrical conductivity is zero or near zero. Note 1 : A dielectric material is an electrical insulator. Note 2 : In a dielectric, electrons are bound to atoms and molecules, hence there are few free electrons. 2. Pertaining to a substance that has a zero or near zero electrical conductivity. <br><a href=""javascript:window.open('http://www.its.bldrdoc.gov/fs-1037/','LINK','scrollbars=yes,resizables=yes,menubar=yes,width=600,height=480,top=100,left=200');"">http://www.its.bldrdoc.gov/fs-1037/</a><br> 3. A medium in which it is possible to maintain an electric field with little or no supply of energy from outside sources. IEEE Std 100-1996"
307,자동무효전력조정장치,발전기의 무효전력이 기준치가 되도록 자동적으로 계자전류를 제어하는 장치.
308,자동발전량조정,"정해진 지역 내의 발전기 출력을 계통 주파수의 변화, 연계선의 부하 또는 이들 상호간의 관계에 따라 계획된 계통 주파수를 유지하도록, 또는 다 른 지역과의 사이에서 전력 융통을 소정의 한도 내에 유지하도록 제어 및 조정하는 것."
309,자동발전소,"1.자동 시퀀스에 의해 미리 정해진 조건하에서 작동하는 발전소. 자동적인 수단에 의해 용량 내에서 서비스의 요구 특성을 유지하며 다른 설정 조건 에서는 자동 시퀀스에 의해 작동을 중지한다. 또한, 보통의 비상시 작동에 대한 보호를 포함한다. 2.자동 제어 모드에서 작동하는 발전소."
310,자동발전제어,"계통 주파수 유지 및 경제급전을 위한 발전기 출력제어, 2초 간격의 계산 및 4초 간격의 출력제어"
311,자동발전제어,전력계통의 주파수 변동에 따른 전력수급 균형을 유지하기 위해 발전기별 출력의 증가와 감소량을 EMS에서 계산하고 신호를 송출하여 제어하는 것임
312,자동보일러제어,"보일러의 자동제어는 보일러 효율의 향상, 운전인원의 절감등 발전소운전에 관련하여 경제적 견지에서 종래 Acc(automatic combustion control)라 일컫는 연소를 주로 행하는 방식만이 채용되어 왔지만 최근과 같이 발전소의 대용량화, 고효율화에 따라 제설 비장치의 고도화, 복잡화가 이루어졌고 보일러도 고성능이 되어 이의 운전에 있어 안전확실한 운전조작이 요구되어 수동운전은 매우 곤란하며 능숙한 운 전원이 운전해도 부하변동, 기계자"
313,자동보일러제어장치,"보일러 부하의 변화에 대해 연료, 공기, 급수량등을 조정하고 주증기의 압력과 온도를 일정하게 보존하고 동시에 연료의 완전연소를 자동으로 제어하 는 장치."
314,자동복구시스템,배전선로 고장시 고장구간을 인지하여 분리하고 건전구간은 단시간내에 송전하는 자동복구 시스템
315,자동부하배분,"동일 부하로 접속된 두 가지 또는 그 이상의 전동기에 전기자 전류를 소정의 배율로 배분하도록 하는 장치, 또는 그와 같은 제어 동작을 말하기도 한다."
316,자동수요반응,"전력상황(피크, 전력공급가격)에따라 수용가가 자동으로 반응하여 전력수요를 조절할 수 있도록 하는 메커니즘"
317,자동역률조정장치,발전기 역률을 일정하게 유지하기 위해 자동적으로 계자전류를 조정하는 장치.
318,자동연소제어,부하의 변동에 관계없이 증기압력을 일정하게 유지토록 연료공급량을 조절하고 연료공급량에 따라 보일러의 최고효율이 얻을수 있는 비율로 공기량을 가감함과 동시에 노내압을 규정치에 유지토록 제어한다. 연료량 제어는 증기압력의 미소한 변화를 검출하여 자동적으로 가감하며 공기량제어는 증기유 량을 검출하여 이와 공기량이 비례토록 통풍기의 회전속도나 댐퍼개도를 자동적으로 가감시킨다. 또한 노내압제어는 노내풍압을 검출하여 이것이 일정하 게 되도록 회전속도
319,자동용접,작업자의 계속적인 관찰이나 조정 없이 용접작업의 전과정을 기기에 의하여 수행하는 용접으로 기기가 공작물을 장착 또는 탈착할 수도 있다. [MGE 1200]
320,자동용접사,자동 용접기를 조작하는 작업자 [MGE 1200]
321,자동원격검침,"배전선로에 관한 시스템의 운영과 전력수급에 관한 자동화 기능의 하나. 전력량계 자동검침, 계절별 심야전력요금 전환, 부하분석등으로 전력설비 이용 검침, 전력회사와 수용가 양방향의 서비스, 검침 시스템의 다양화와 같은 효과가 나타난다."
322,자동원격검침,검침원이 고객을 직접방문 하지않고 검침센터에서 원격으로 검침 및 현장 관리(계기 장애진단 등)를 할 수 있는 시스템
323,자동전압조정기,"발전기의 단자 전압, 부하에 주어지는 전압 등을 일정하게 유지하는 자동 장치."
324,자동전압조정기,"출력 전압 변동을 검출하여 자동적으로 전압을 일정하게 유지토록 하여 부하에 일정한 전압을 공급토록하는 장비로 변압기, 발전기 등에서 전압조정에 쓰임"
325,자동전압조정장치,역조류에 의한 전압상승을 억제하는 장치로서 진상무효전력제어기능과 출력제어기능이 있다.
326,자동전환장치,"부하가 접속되었던 전원에 고장이 생기면 자동적으로 다른 전원으로 옮겨지고, 동시에 최초의 전원이 복구되면 부하를 원래의 전원으로 되돌아가도록 하 는 장치."
327,자동제어변전소,"부하, 전압, 주파수의 제어, 변전소 외부 송전선의 사고 발생, 회복, 변전소외부기기의 고장 등에 대한 변전소내의 모든 기기의 운전이나 정지가 자동적으로 이루어지는 변전소."
328,자료 단말 장비,"자료 단말 장비로 데이터 통신을 시작하고 데이터 통신을 종료시키는 작업을 수행하는 장치들을 통칭하는 용어이다. 예를 들어 현재 KT회선으로 연결 된 주장치와 단말장치 사이에서 모뎀을 통하여 데이터 통신을 수행할 때 모뎀이 DCE에 해당되고, 주장치 및 단말장치가 DTE에 해당된다."
329,자료 회선 단말 장비,"자료 회선 단말장비로 데이터 통신에서 하나의 장치로부터 다른 장치로 정보를 전송하는 데 이용되는 모든 장비를 통칭하는 용어. 예를 들어 KT회선 으로 연결된 주장치에서 모뎀을 통하여 단말장치로 정보를 전송하고 있으며, 이때 모뎀이 DCE에 해당된다."
330,전력조류제어,"발전소의 출력조정, 조상설비의 조작, 계통절체등에 의한 전력조류를 제어하는 일."
331,전력조류해석,전력 시스템에서 부하에 양질의 전기를 공급하기 위해 시스템내의 전력과 전압의 흐름을 정태적으로 파악하는 것.
332,전력케이블,주로 지중이나 해저를 통해서 전력을 송전하거나 배전을 할 때 사용하는 케이블의 총칭.
333,전력표시장치,"각종 전기 조절장치에 공급되는 교류 전력의 상태를 외부에서 감지할 수 있도록 만들어진 장치. 예를 들면, 동기 일치 여부나 주파수 등을 감지한 다. 가시적인 상태변화 표시기와 가청 경보장치가 갖추어져 있고 보통 램프나 LED와 같은 소자들이 사용된다."
